corridor,countries,distance_nm,annual_voyages_est,total_route_nm_per_year,co2_annual_baseline_t,co2_annual_baseline_Mt,co2_per_voyage_t,co2_per_nm_t,co2_per_km_t,co2_per_nm_kg,dwell_4h_idle_impact_t,dwell_pct_of_voyage,co2_saved_lng_wind_t_yr,co2_saved_green_ammonia_t_yr,imo_2030_target_t,gap_to_imo_2030_t,data_year,dominant_vessel,source
Route 1: Shanghai -> Los Angeles,CHN + USA,5400,2800,15120000,1073083016.0,1073.08,383244.0,70.9711,38.3213,70971.1,15,0.004,375579055.0,987236374.0,751158111.0,321924905.0,2024,Container Ship,OECD.csv + Getting to Zero Coalition voyage estimates
Route 2: Rotterdam -> Singapore,NLD + SGP,7000,3400,23800000,421093033.0,421.09,123851.0,17.693,9.5534,17692.98,15,0.012,147382562.0,387405591.0,294765123.0,126327910.0,2024,Container Ship,OECD.csv + Getting to Zero Coalition voyage estimates
Route 3: Australia -> East Asia,AUS + CHN,4200,5600,23520000,776945399.0,776.95,138740.0,33.0334,17.8366,33033.39,15,0.011,271930890.0,714789767.0,543861779.0,233083620.0,2024,Bulk Carrier,OECD.csv + Getting to Zero Coalition voyage estimates
